"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","footer navigation links are functional and present","chromium","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","278","footer navigation links are functional and present","webkit","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","289","action buttons (Deploy and Docs) are present","webkit","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","288","Next.js logo is visible","webkit","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","4","action buttons (Deploy and Docs) are present","firefox","2026-05-20","failed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","4","getting started instruction is present","firefox","2026-05-20","failed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","3","page loads and has correct title","firefox","2026-05-20","failed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","300","Next.js logo is visible","chromium","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","328","action buttons (Deploy and Docs) are present","chromium","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","4","footer navigation links are functional and present","firefox","2026-05-20","failed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","303","getting started instruction is present","chromium","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","350","page loads and has correct title","webkit","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","265","getting started instruction is present","webkit","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","4","Next.js logo is visible","firefox","2026-05-20","failed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
"","748","page loads and has correct title","chromium","2026-05-20","passed","2026-05-20","Next.js Boilerplate Landing Page Tests","","",""
